R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Renato Moicano,Chris Duncan,150,-188,150.0,53.1915,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,5,0,4,0,5.02,0.46,0.7,3.27,0.42,4,2,17,0,0,1,2,1,3,0,7,Orthodox,177.8,180.34,155,2,0,0,4.17,0.48,0.5,1.67,0.41,4,7,41,1,0,2,2,2,6,0,12,Orthodox,180.34,182.88,155,36,32,-2,4,0,-5,-5,-24,-1,-1,-3,-2.54,-2.54,-4,0.85,0.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,450.0,4000.0,6600.0,7000.0,2000.0
Virna Jandiroba,Tabatha Ricci,-105,-120,95.2381,83.3333,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Women's Strawweight,FEMALE,3,0,1,0,4.18,0.36,0.1,2.69,0.37,4,3,27,0,0,1,4,1,1,0,7,Orthodox,154.94,154.94,115,1,0,0,2.33,0.41,1.5,2.85,0.37,5,4,33,1,0,0,4,1,3,0,8,Orthodox,160.02,162.56,115,37,31,-1,1,-1,-1,-1,-6,-1,0,-2,-5.08,-7.62,-6,1.85,-1.4,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Rakhman Yakhyaev,Brendson Ribeiro,-2000,900,5.0,900.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,3,2,0,0,3.06,0.42,0.6,0.9,0.42,2,4,12,0,0,1,0,1,1,0,3,Orthodox,190.5,205.74,205,0,2,0,20.95,0.78,14.3,14.29,1.0,2,0,2,0,0,0,0,1,1,0,2,Orthodox,187.96,198.12,205,25,29,2,-2,0,1,4,10,0,0,0,2.54,7.62,4,-17.89,-13.7,-13.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethyn Ewing,Rafael Estevam,-163,130,61.3497,130.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,0,4,0,2.1,0.54,0.3,6.01,0.38,4,0,11,0,0,0,3,1,0,0,4,Orthodox,172.72,175.26,135,0,1,0,5.67,0.52,0.0,3.0,0.6,1,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,175.26,135,30,29,0,3,3,3,0,8,0,1,0,5.08,0.0,-1,-3.57,0.3,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy McMillen,Manolo Zecchini,-1205,700,8.2988,700.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Featherweight,MALE,3,1,0,0,2.34,0.21,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,145,0,1,0,7.53,0.51,0.0,0.0,0.0,1,0,3,0,1,0,0,0,0,0,1,Orthodox,182.88,187.96,145,28,29,1,-1,-1,-1,1,-2,0,0,0,-10.16,-15.24,1,-5.19,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilherme Pat,Thomas Petersen,-110,-110,90.9091,90.9091,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Heavyweight,MALE,3,1,0,0,3.38,0.58,0.5,3.71,0.5,1,3,15,0,0,0,2,0,1,0,3,Southpaw,185.42,187.96,250,0,1,0,4.27,0.64,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,198.12,205.74,265,31,31,1,-1,0,2,3,12,0,0,1,-12.7,-17.78,0,-0.89,0.5,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Delano,Robert Ruchala,-350,275,28.5714,275.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Featherweight,MALE,3,1,0,0,2.27,0.35,0.0,2.0,0.33,0,1,3,0,0,0,0,0,0,0,0,Switch,172.72,182.88,145,0,1,0,9.73,0.65,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,177.8,145,29,27,1,-1,-1,-1,1,0,0,0,0,0.0,5.08,-2,-7.46,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Costa,Stewart Nicoll,-400,300,25.0,300.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Flyweight,MALE,3,2,0,0,3.0,0.34,0.0,2.55,0.14,0,2,4,0,0,0,0,0,0,0,0,Orthodox,165.1,165.1,125,1,0,0,3.64,0.44,0.5,0.46,0.16,1,3,16,0,0,1,0,2,0,0,3,Orthodox,162.56,170.18,125,30,29,1,0,-1,-3,-1,-12,0,-2,0,2.54,-5.08,-1,-0.64,-0.5,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lando Vannata,Darrius Flowers,-225,175,44.4444,175.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,3,0,0,3.07,0.49,0.0,0.98,0.28,1,3,8,0,0,0,0,0,1,0,1,Orthodox,175.26,180.34,155,2,0,2,4.52,0.45,0.3,1.09,0.37,1,7,32,0,0,1,1,1,1,0,4,Orthodox,175.26,180.34,155,34,31,1,0,0,-3,-4,-24,0,-1,0,0.0,0.0,-3,-1.45,-0.3,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Pereira,Hailey Cowan,-138,110,72.4638,110.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Women's Bantamweight,FEMALE,3,2,0,0,2.5,0.42,0.0,1.63,0.36,1,2,8,0,0,1,0,0,0,0,1,Southpaw,172.72,170.18,135,1,0,0,2.47,0.31,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,20,34,1,0,1,1,1,5,0,0,0,0.0,-10.16,14,0.03,0.0,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
